INFO 2025-09-29 12:15:57,990 autoreload 5156 14952 Watching for file changes with StatReloader
WARNING 2025-09-29 12:16:05,332 log 5156 7560 Not Found: /
WARNING 2025-09-29 12:16:05,334 basehttp 5156 7560 "GET / HTTP/1.1" 404 2428
WARNING 2025-09-29 12:16:05,382 log 5156 7560 Not Found: /favicon.ico
WARNING 2025-09-29 12:16:05,382 basehttp 5156 7560 "GET /favicon.ico HTTP/1.1" 404 2479
INFO 2025-09-29 12:16:10,479 basehttp 5156 7560 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-09-29 12:16:10,495 basehttp 5156 7560 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4158
INFO 2025-09-29 12:16:10,657 basehttp 5156 7560 "GET /static/admin/css/base.css HTTP/1.1" 200 21544
INFO 2025-09-29 12:16:10,657 basehttp 5156 13512 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-09-29 12:16:10,657 basehttp 5156 7560 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-09-29 12:16:10,657 basehttp 5156 4824 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2682
INFO 2025-09-29 12:16:10,657 basehttp 5156 14400 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-09-29 12:16:10,657 basehttp 5156 10824 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-09-29 12:16:10,657 basehttp 5156 12016 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17905
INFO 2025-09-29 12:16:22,407 basehttp 5156 10824 "GET /api/ HTTP/1.1" 200 152
INFO 2025-09-29 12:16:32,247 basehttp 5156 10824 "GET /api/employees/ HTTP/1.1" 200 52
INFO 2025-09-29 12:31:45,743 autoreload 15608 15612 Watching for file changes with StatReloader
